gene	log2FC	FDR
C15orf48	3.35744129027141	3.50898911001375e-109
EEF1A1P27	3.08709033092335	5.50288560923019e-109
RPL37AP1	2.58268256204613	1.37945462366364e-108
RPL35P9	3.62736928416808	2.2869883258559e-108
AL357055.1	3.27445349440176	3.02435231376081e-108
RPS2P48	2.04857346469778	6.94158856900963e-108
AL357084.1	3.72035560323277	7.02442734291449e-107
AC073325.2	3.20239178995363	5.42882574672921e-106
AP002982.1	3.0452999486547	6.17990378232813e-106
RPSAP21	2.74628847042755	8.89989601518627e-106
YBX1P6	2.59136070568818	9.89878633599664e-106
AL122020.1	2.40169419445522	2.65292790768387e-105
AP001496.2	2.26641455641848	2.8049246239109e-105
AC078991.1	3.7768008361543	6.57966313267879e-105
PPIAP66	3.38854355172122	1.40229448917213e-104
RPL15P14	2.52925850603795	1.46133925529207e-104
H3F3AP3	3.4939341501294	1.51977240950084e-104
RPS7P15	3.00476930870655	5.34181032228705e-104
RPL31P35	3.47746220328006	7.13011440010385e-104
AC008026.2	3.51495899827756	8.4670328925554e-104
RPL18AP16	2.837104802977	1.12376049208748e-103
TPT1P6	2.55466690276815	1.58162148755794e-103
ALDOAP1	2.68297294640547	1.6032097220437e-103
AC023055.1	2.31246169263462	7.30394460310117e-103
AC007686.1	3.28623548764588	7.33764189013526e-103
EIF1P7	3.10048045490011	1.9457064178255e-102
AC135068.6	2.07773557316547	2.09550454276365e-102
AL356421.1	3.61192859171849	1.87708949444529e-101
AC022730.2	3.75364294828369	3.16464529238436e-101
AC010469.1	2.53377037570223	4.38660955098915e-101
GAPDHP27	2.71799567906138	4.60022966295441e-101
TPI1P3	3.57054358983892	5.09734311703526e-101
AL451081.2	2.2847283647042	5.47486196111161e-101
AL590396.1	2.28254839040699	6.24415141981237e-101
AC113398.1	2.71179442631649	9.02083489699837e-101
AL590640.2	3.27016102626454	1.00364026081403e-100
EEF1A1P1	2.29665397631535	2.62981514258601e-100
RPS3AP36	2.60570711846363	3.33439301472056e-100
RPL23AP43	2.34935231583467	4.03372365935476e-100
TPT1P2	3.65526821657526	4.77308916682068e-100
AP005431.1	3.00435419573382	4.92039823179513e-100
AC104212.1	3.07773224199568	6.75454014888066e-100
PPIAP60	2.85872338709104	9.92738482448802e-100
RPL35P4	3.41106716955176	1.07491853868444e-99
AL121871.1	2.91499618309542	2.11343193507476e-99
AL161636.2	2.71141291929134	2.34765489539169e-99
MT1IP	4.10574900485179	2.68897477538023e-99
AL359092.2	2.71383168147999	5.30565348533078e-99
MYL6P5	3.43494277443598	5.49521101029017e-99
RPS3AP22	2.80726891897771	1.08994423164187e-98
FTLP8	3.6972229111782	1.09379780061168e-98
RPS8P10	2.03011892801685	1.1088933776339e-98
AC013404.1	3.50590296624164	1.19945393256802e-98
AC233964.1	2.78671798729401	2.5783735192965e-98
POTEE	4.0614584181383	5.28411861836978e-98
AL603832.3	2.16577783920069	8.22128444726862e-98
PI3	5.68648189721541	1.05880529906798e-97
GAPDHP46	2.94257718139955	1.05880529906798e-97
AC007688.1	2.41817060509041	1.29779183546526e-97
AC025181.1	3.05417797561903	1.74062377351701e-97
RPS10P28	2.50386904640785	2.61629087492529e-97
RPL8P2	2.81407241513939	4.20066509302535e-97
HBG1	3.47866019714611	1.09218465279353e-96
AL138785.1	3.4346104957112	1.26096361649687e-96
AL049830.1	3.30427908232459	1.38814457670852e-96
AC013429.2	3.58387299678747	1.5695763426004e-96
RPS10P20	3.66507882280223	4.52162206642498e-96
ACTBP7	2.15579796901957	8.28887991086318e-96
RPSAP2	3.30346469354223	1.0240086027434e-95
RPL27AP	2.76764097766683	1.90642820077433e-95
AC007016.1	3.36031799147704	2.08539201284308e-95
AC092865.1	2.62803947626235	2.15712182695826e-95
GAPDHP68	2.51423942090931	5.90343542352324e-95
AL583805.1	2.34955258523489	6.09510012552571e-95
HSPA8P7	2.87244155480077	8.72315274186331e-95
AC005587.1	3.37954563986485	9.01821129336596e-95
AC209007.1	2.13349994669309	1.03635619002422e-94
RPSAP3	2.07598304723215	1.17653807155136e-94
AL441963.1	2.31966074430131	1.45411363044888e-94
AC004486.1	2.85569053736394	1.98145572317345e-94
SPAG4	2.60520352951749	4.3286580594389e-94
AL139100.1	2.26385927713993	4.438064551088e-94
LOX	3.27914373592884	6.90110343077371e-94
AL031229.1	3.25961862065509	7.99021003577818e-94
RPL29P2	2.65106855717545	9.17351296567759e-94
AL445669.1	3.23550729823771	5.2973392744821e-93
RPS29P3	3.22024694659859	6.02012804282626e-93
TPT1P7	3.69287274300059	6.0391511335059e-93
GAPDHP20	2.16011932865102	1.13517626224389e-92
PLIN2	2.07970195547356	1.47634600924609e-92
RPL5P22	2.79765192881928	2.39872467784136e-92
AC092991.1	3.3902669957161	3.16792645081563e-92
AC139792.3	2.27110305602489	3.41395173613625e-92
RPS4XP3	3.05616780577871	5.38446652932923e-92
RPL7P26	2.48536217664373	6.74977039389492e-92
RPS10P27	3.47105755219732	9.30342926669374e-92
FTH1P10	2.01603784712454	1.29394989996559e-91
RPSAP66	3.13862596256115	1.9437758271553e-91
RPS3AP25	2.47136283174415	3.13819817470119e-91
AC007690.1	2.9320912541906	4.88055901954903e-91
AC004386.1	2.18330337182152	4.90380772049259e-91
POTEF	3.01624577926958	5.05193407064072e-91
AL022342.1	2.61575991455214	6.45755500866736e-91
AL354710.1	2.44888685176955	6.61755917923065e-91
RPL19P16	2.48525614823712	1.87219927162116e-90
RPS2P6	2.83306693533183	2.05882052524096e-90
CFL1P4	3.06006377081696	3.554541289424e-90
AC133539.1	3.31727775536226	4.81080825691309e-90
AC005521.1	3.07407675728787	6.63286822322133e-90
RPS5P3	2.9393996929011	2.43529687663372e-89
TUBA1C	2.27409578211833	2.83155110894912e-89
AC016304.1	3.34552576066046	2.88784040976675e-89
HSPA8P16	2.7856927148107	3.09920629064616e-89
RPSAP5	2.33005777988786	3.10956530584514e-89
RPL5P6	2.78096830656557	6.81212463199907e-89
RPS2P52	3.17133402861096	2.56358843980736e-88
AC023194.2	3.38942690006987	3.63203972522335e-88
AC020917.1	2.29079795645883	4.90712061969844e-88
AC090114.1	2.14273474075323	6.17421510685946e-88
KC877373.1	3.32605828830819	1.2536238352393e-87
RPL23AP37	2.12139250429163	1.53003141807095e-87
AC097638.1	2.4716879066766	1.61448437759956e-87
AC096922.1	3.23903075222243	1.7544783200653e-87
RPL7AP8	2.49134944107063	2.17353921858776e-87
RPL23AP57	2.58502159326074	2.83797049545241e-87
AC093698.1	2.77191266907181	3.85096663924477e-87
CFL1P3	3.08110754634817	4.56635333537679e-87
RPL9P18	2.27898018561687	5.13322750333417e-87
NME2P1	2.61202272094823	9.2586081710224e-87
GPX1P2	2.3186778883546	1.37606466210799e-86
RPS4XP8	2.98759692414866	3.13874079125546e-86
RPL13P2	2.2347390947615	5.00879047379082e-86
